CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/28/2018,21:30:00,7A,2400 DENISON ST,AUTO THEFT,O,,641,NORTHWESTERN,Hanlon-Longwood,-76.67448,39.31438,"(39.31438, -76.67448)",STREET,,1
06/28/2018,21:00:00,6B,MT ROYAL AV & W LANVALE ST,LARCENY,O,,132,CENTRAL,Bolton Hill,-76.6211,39.30752,"(39.30752, -76.6211)",STREET,,1
06/28/2018,21:00:00,6D,AV & BALTIMORE NATIONAL PI,LARCENY FROM AUTO,,,823,SOUTHWESTERN,Westgate,-76.70809,39.29171,"(39.29171, -76.70809)",,,1
06/28/2018,21:00:00,6D,WASHINGTON ST & E LOMBARD ST,LARCENY FROM AUTO,O,,212,SOUTHEASTERN,Butcher's Hill,-76.58909,39.29055,"(39.29055, -76.58909)",STREET,,1
06/28/2018,20:20:00,6D,ST & N MARTIN LUTHER KING JR BL,LARCENY FROM AUTO,O,,132,CENTRAL,Upton,-76.6235,39.29911,"(39.29911, -76.6235)",STREET,,1
06/28/2018,20:10:00,4E,400 N GLOVER ST,COMMON ASSAULT,I,,221,SOUTHEASTERN,McElderry Park,-76.57996,39.29614,"(39.29614, -76.57996)",ROW/TOWNHO,,1
06/28/2018,19:30:00,6J,NORTH AV & N CHARLES ST,LARCENY,O,,141,CENTRAL,Charles North,-76.61656,39.31117,"(39.31117, -76.61656)",STREET,,1
06/28/2018,19:30:00,7A,3800 DECKERTS LN,AUTO THEFT,O,,424,NORTHEASTERN,Taylor Heights,-76.53321,39.36621,"(39.36621, -76.53321)",STREET,,1
06/28/2018,19:15:00,4E,3700 OVERLEA AVE,COMMON ASSAULT,,,424,NORTHEASTERN,Overlea,-76.53624,39.35928,"(39.35928, -76.53624)",,,1
06/28/2018,19:00:00,6D,1900 GOUGH ST,LARCENY FROM AUTO,,,212,SOUTHEASTERN,Upper Fells Point,-76.59012,39.28782,"(39.28782, -76.59012)",,,1
06/28/2018,18:34:00,5A,500 N POTOMAC ST,BURGLARY,I,,224,SOUTHEASTERN,Ellwood Park/Monument,-76.57508,39.2976,"(39.2976, -76.57508)",ROW/TOWNHO,,1
06/28/2018,18:33:00,6C,3700 BOSTON ST,LARCENY,I,,233,SOUTHEASTERN,Canton Industrial Area,-76.56525,39.27709,"(39.27709, -76.56525)",GROCERY/CO,,1
06/28/2018,18:32:00,4C,800 BRADHURST RD,AGG. ASSAULT,O,OTHER,523,NORTHERN,Mid-Govans,-76.60398,39.35902,"(39.35902, -76.60398)",STREET,,1
06/28/2018,18:30:00,4C,EUTAW ST & W LEXINGTON ST,AGG. ASSAULT,O,OTHER,111,CENTRAL,Downtown,-76.62105,39.29147,"(39.29147, -76.62105)",STREET,,1
06/28/2018,18:30:00,4C,EUTAW ST & W LEXINGTON ST,AGG. ASSAULT,O,OTHER,111,CENTRAL,Downtown,-76.62105,39.29147,"(39.29147, -76.62105)",STREET,,1
06/28/2018,18:30:00,5D,3100 WALBROOK AVE,BURGLARY,I,,811,SOUTHWESTERN,Walbrook,-76.66985,39.31006,"(39.31006, -76.66985)",RELIGIOUS,,1
